Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,1.46031,14.5185,0.776506,0.613379
30720,1.337,12.1461,0.692658,0.549082
28672,1.21861,10.0685,0.607595,0.481571
26624,1.1,8.36809,0.527429,0.417131
24576,1.02689,7.00823,0.449787,0.36126
22528,0.892201,5.65516,0.374213,0.300592
20480,0.797529,4.5427,0.308068,0.26266
18432,0.687766,3.57678,0.247268,0.20731
16384,0.592763,2.80918,0.194126,0.168636
14336,0.498992,2.03196,0.1486,0.124559
12288,0.414095,1.46564,0.109438,0.088895
10240,0.340035,0.988141,0.075404,0.0603432
8192,0.285463,0.723101,0.053678,0.0645448
6144,0.210388,0.355157,0.0342948,0.0373908
4096,0.140182,0.145052,0.0166324,0.0185756
