Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-06,613.46,617.62,609.66,611.79,49200,0.0,0
2019-03-07,610.6,612.44,604.49,607.93,93700,0.0,0
2019-03-08,604.52,604.52,596.6,602.92,57300,0.0,0
2019-03-11,604.7,608.73,598.38,599.48,63500,0.0,0
2019-03-12,600.33,604.6,596.94,602.76,69300,0.0,0
2019-03-13,603.82,607.51,600.06,601.47,76500,0.0,0
2019-03-14,601.9,605.93,598.28,602.55,105100,0.0,0
2019-03-15,598.48,617.26,598.48,606.9,216600,0.0,0
2019-03-18,607.2,613.38,605.85,608.28,136100,0.0,0
2019-03-19,609.19,618.35,601.5,603.58,109000,0.0,0
2019-03-20,603.18,604.42,595.01,595.44,87500,0.0,0
2019-03-21,591.93,604.09,591.93,601.98,70000,0.0,0
2019-03-22,599.54,605.37,593.68,600.6,97900,0.0,0
2019-03-25,599.78,600.86,591.76,592.92,87600,0.0,0
2019-03-26,596.09,598.57,588.5,593.33,58700,0.0,0
2019-03-27,592.83,599.01,592.83,596.19,74200,0.0,0
2019-03-28,597.98,600.97,587.44,600.0,68600,0.0,0
2019-03-29,603.62,603.85,595.54,599.35,56800,0.0,0
2019-04-01,603.03,608.88,603.03,608.48,97800,0.0,0
2019-04-02,608.74,609.24,598.43,599.99,108900,0.0,0
2019-04-03,603.85,613.98,599.76,606.35,148300,0.0,0
2019-04-04,607.56,609.63,603.22,604.69,100800,0.0,0
2019-04-05,605.86,608.77,603.65,604.05,56000,0.0,0
2019-04-08,603.85,609.01,602.07,602.87,62500,0.0,0
2019-04-09,601.2,603.07,595.92,596.13,68600,0.0,0
2019-04-10,596.23,604.83,596.23,604.47,76300,0.0,0
2019-04-11,605.71,615.53,603.24,609.2,56000,0.0,0
2019-04-12,612.66,615.46,610.22,613.74,53000,0.0,0
2019-04-15,614.5,620.8,611.95,615.4,75600,0.0,0
2019-04-16,618.06,626.9,618.06,626.15,88900,0.0,0
2019-04-17,627.2,630.39,618.97,623.95,79500,0.0,0
2019-04-18,626.21,641.07,626.21,633.13,148400,0.0,0
2019-04-22,630.38,630.95,623.35,628.59,110200,0.0,0
2019-04-23,628.57,639.66,628.57,637.85,105900,0.0,0
2019-04-24,638.55,642.94,632.59,632.59,60100,0.0,0
2019-04-25,632.05,637.47,626.61,634.18,57700,0.0,0
2019-04-26,634.99,639.27,631.25,639.15,51500,0.0,0
2019-04-29,638.7,640.06,633.5,635.11,64300,0.0,0
2019-04-30,635.06,642.88,634.18,642.88,103800,0.0,0
2019-05-01,643.46,645.75,638.44,642.9,114600,0.0,0
2019-05-02,643.39,645.65,634.09,641.33,94500,0.0,0
2019-05-03,644.14,649.81,642.02,648.69,53500,0.0,0
2019-05-06,640.07,656.22,640.07,652.11,135200,0.0,0
2019-05-07,648.81,655.52,638.46,638.84,108400,0.0,0
2019-05-08,639.41,656.52,636.2,649.39,144200,0.0,0
2019-05-09,645.57,663.89,641.33,663.89,99200,0.0,0
2019-05-10,658.55,660.61,648.23,658.06,84300,0.0,0
2019-05-13,651.36,659.4,649.98,657.45,76400,0.0,0
2019-05-14,660.52,663.58,657.39,660.31,113000,0.0,0
2019-05-15,657.14,664.65,655.87,663.01,71700,0.0,0
2019-05-16,666.1,674.61,666.1,674.5,64500,0.0,0
2019-05-17,669.41,671.23,665.0,665.45,87700,0.0,0
2019-05-20,662.26,670.77,662.26,669.43,96200,0.0,0
2019-05-21,670.4,672.75,669.24,671.36,116200,0.0,0
2019-05-22,668.49,673.36,665.54,671.98,67500,0.0,0
2019-05-23,669.31,670.61,663.71,670.05,66100,0.0,0
2019-05-24,672.61,674.39,665.58,671.23,111800,0.0,0
2019-05-28,671.86,677.24,657.36,657.57,213600,0.0,0
2019-05-29,655.72,659.14,652.59,657.07,68500,0.0,0
2019-05-30,657.35,661.1,650.3,651.81,72200,0.0,0
2019-05-31,646.56,651.13,642.15,649.16,102700,0.0,0
2019-06-03,648.3,663.99,646.57,663.99,175400,0.0,0
2019-06-04,669.81,669.81,659.77,669.01,94200,0.0,0
2019-06-05,668.49,679.23,666.1,678.42,67100,0.0,0
2019-06-06,679.87,682.47,677.45,677.45,78900,0.0,0
2019-06-07,678.71,678.71,673.89,676.02,53600,0.0,0
2019-06-10,676.99,676.99,669.74,670.15,34200,0.0,0
2019-06-11,672.37,672.37,663.13,669.92,118300,0.0,0
2019-06-12,669.82,673.06,665.65,672.16,126600,0.0,0
2019-06-13,672.84,675.34,664.75,672.36,135800,0.0,0
2019-06-14,672.99,678.52,669.42,676.13,148100,0.0,0
2019-06-17,677.19,677.19,671.09,672.37,78100,0.0,0
2019-06-18,673.98,678.04,661.69,664.03,91000,0.0,0
2019-06-19,665.05,670.02,657.39,667.93,129700,0.0,0
2019-06-20,671.41,675.13,664.66,671.89,224200,0.0,0
2019-06-21,669.81,677.21,666.54,672.07,134400,0.0,0
2019-06-24,671.64,672.97,664.26,667.4,101100,0.0,0
2019-06-25,667.56,673.76,663.76,665.51,91800,0.0,0
2019-06-26,667.8,667.8,655.01,655.91,126300,0.0,0
2019-06-27,657.68,660.13,652.67,659.77,70700,0.0,0
2019-06-28,662.04,669.13,658.9,666.59,116900,0.0,0
2019-07-01,672.42,679.81,667.79,679.0,87500,0.0,0
2019-07-02,680.19,684.82,678.55,681.74,66100,0.0,0
2019-07-03,682.42,690.05,682.42,687.48,45500,0.0,0
2019-07-05,685.03,690.95,681.51,690.88,58300,0.0,0
2019-07-08,689.61,689.61,681.08,684.08,97700,0.0,0
2019-07-09,683.12,699.22,683.12,695.51,104800,0.0,0
2019-07-10,697.96,699.37,686.24,688.45,62300,0.0,0
2019-07-11,688.41,690.42,681.71,688.28,61800,0.0,0
2019-07-12,689.29,692.05,683.67,689.68,69700,0.0,0
2019-07-15,690.83,698.45,689.98,692.22,52800,0.0,0
2019-07-16,691.38,695.85,682.11,682.15,43500,0.0,0
2019-07-17,681.17,683.18,676.7,676.7,83100,0.0,0
2019-07-18,675.43,686.38,675.43,683.54,64400,0.0,0
2019-07-19,684.6,687.54,677.44,678.35,48000,0.0,0
2019-07-22,677.55,677.55,670.03,671.56,41400,0.0,0
